;x;y;Information
Decoration;;;Blue
Origin;;;Barcelona
MCB63797;;;
1;1629.661;-2353.632;
2;1629.661;-2341.373;
3;1622.19;-2341.343;
4;1611.828;-2341.321;
5;1603.937;-2341.373;
6;1601.565;-2342.938;
7;1601.943;-2346.16;
8;1578.155;-2359.041;
9;1562.611;-2389.277;
10;1564.353;-2391.635;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB142667;;;
1;1318.642;-2352.033;
2;1318.642;-2341.92;
3;1306.677;-2341.656;
4;1293.095;-2341.009;
5;1289.508;-2341.009;
6;1287.831;-2343.857;
7;1287.891;-2345.872;
8;1258.9;-2364.678;
9;1250.437;-2382.882;
10;1252.404;-2386.462;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB49059;;;
1;1318.537;-2279.214;
2;1318.537;-2270.101;
3;1299.428;-2268.307;
4;1293.872;-2266.984;
5;1291.138;-2266.984;
6;1288.64;-2269.571;
7;1288.404;-2273.422;
8;1264.975;-2290.09;
9;1253.257;-2317.054;
10;1254.654;-2318.391;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
BCN14;;;
1;1478.978;-2275.76;
2;1478.978;-2259.548;
3;1470.632;-2258.78;
4;1446.493;-2254.591;
5;1443.8;-2254.215;
6;1442.083;-2256.448;
7;1442.541;-2260.667;
8;1408.276;-2295.619;
9;1404.456;-2317.402;
10;1405.803;-2319.372;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv32;;;
1;1646.853;-2268.997;
2;1646.853;-2253.122;
3;1629.831;-2252.064;
4;1624.187;-2251.358;
5;1613.274;-2251.388;
6;1610.958;-2255.239;
7;1611.839;-2257.267;
8;1573.635;-2294.481;
9;1572.68;-2312.472;
10;1574.445;-2313.979;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv47;;;
1;1464.256;-2168.358;
2;1464.256;-2153.601;
3;1458.2;-2153.424;
4;1440.502;-2150.132;
5;1428.391;-2150.132;
6;1424.569;-2153.013;
7;1425.803;-2155.306;
8;1396.876;-2181.823;
9;1386.135;-2214.659;
10;1387.71;-2216.076;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv33;;;
1;1299.531;-2171.681;
2;1299.531;-2157.981;
3;1290.327;-2157.994;
4;1278.819;-2157.962;
5;1271.78;-2158.04;
6;1268.948;-2160.589;
7;1270.133;-2164.802;
8;1236.619;-2188.379;
9;1229.811;-2211.815;
10;1230.203;-2213.426;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv15;;;
1;1145.398;-2175.679;
2;1145.398;-2157.981;
3;1139.384;-2157.962;
4;1130.388;-2157.962;
5;1123.408;-2157.981;
6;1122.415;-2159.431;
7;1121.53;-2161.806;
8;1089.579;-2185.832;
9;1079.805;-2211.123;
10;1080.315;-2211.971;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63664;;;
1;996.71;-2165.48;
2;996.71;-2158.571;
3;980.335;-2157.542;
4;974.837;-2156.16;
5;973.338;-2156.013;
6;969.667;-2158.734;
7;969.421;-2161.932;
8;947.345;-2177.141;
9;936.907;-2209.33;
10;939.094;-2211.633;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MAN010;;;
1;144.65;-2669.216;
2;144.65;-2661.12;
3;121.721;-2665.189;
4;116.861;-2660.796;
5;113.243;-2660.796;
6;109.888;-2664.93;
7;110.543;-2667.115;
8;89.57;-2683.597;
9;69.976;-2727.806;
10;71.245;-2729.753;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN011;;;
1;327.606;-2667.779;
2;327.606;-2657.699;
3;300.327;-2662.555;
4;296.465;-2657.704;
5;291.233;-2657.699;
6;289.409;-2658.934;
7;290.12;-2662.447;
8;265.494;-2687.816;
9;247.213;-2727.389;
10;248.956;-2728.853;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN014;;;
1;139.14;-2520.948;
2;139.14;-2514.716;
3;112.353;-2517.78;
4;110.212;-2513.481;
5;104.509;-2513.481;
6;103.881;-2516.643;
7;105.191;-2519.361;
8;79.897;-2542.241;
9;65.917;-2576.511;
10;67.974;-2578.283;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MAN015;;;
1;330.658;-2522.13;
2;330.658;-2513.369;
3;305.869;-2517.083;
4;302.906;-2512.546;
5;294.792;-2512.546;
6;293.792;-2514.957;
7;294.792;-2518.719;
8;259.583;-2546.326;
9;250.545;-2575.561;
10;251.995;-2576.785;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
SNU_inv28;;;
1;1857.274;-2726.337;
2;1857.274;-2709.873;
3;1849.849;-2709.873;
4;1837.149;-2709.873;
5;1828.346;-2709.873;
6;1827.65;-2711.034;
7;1827.747;-2714.012;
8;1798.771;-2735.979;
9;1792.124;-2757.579;
10;1793.359;-2759.091;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv46;;;
1;1856.535;-2635.98;
2;1856.403;-2620.369;
3;1844.894;-2620.237;
4;1832.858;-2619.016;
5;1831.358;-2618.783;
6;1827.916;-2623.059;
7;1829.636;-2624.823;
8;1813.805;-2632.011;
9;1792.078;-2671.121;
10;1792.655;-2671.736;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv24;;;
1;2109.477;-2722.322;
2;2109.477;-2706.844;
3;2097.572;-2706.844;
4;2082.666;-2706.844;
5;2078.168;-2706.932;
6;2075.478;-2710.107;
7;2076.713;-2711.783;
8;2054.265;-2730.62;
9;2044.724;-2755.239;
10;2045.536;-2756.533;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB63588;;;
1;2055.119;-2593.725;
2;2055.119;-2587.331;
3;2039.685;-2585.964;
4;2024.31;-2583.963;
5;2022.161;-2583.606;
6;2019.797;-2587.287;
7;2020.787;-2589.079;
8;2002.335;-2602.412;
9;1988.276;-2629.897;
10;1989.843;-2631.302;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
QUARHIS11_2_1;;;
1;1817.785;-2549.702;
2;1817.785;-2538.295;
3;1808.495;-2536.899;
4;1793.723;-2531.96;
5;1790.342;-2531.739;
6;1783.973;-2534.381;
7;1784.193;-2537.509;
8;1759.283;-2553.994;
9;1745.891;-2586.875;
10;1747.801;-2587.635;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63594;;;
1;2012.398;-2509.595;
2;2012.398;-2505.119;
3;1998.419;-2504.59;
4;1989.318;-2504.281;
5;1986.932;-2504.281;
6;1986.39;-2504.738;
7;1984.057;-2506.86;
8;1968.213;-2512.219;
9;1951.125;-2536.119;
10;1952.537;-2537.105;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB142609;;;
1;2171.444;-2502.877;
2;2171.444;-2493.999;
3;2154.863;-2493;
4;2144.573;-2492.059;
5;2139.37;-2491.941;
6;2136.636;-2493.647;
7;2135.36;-2497.927;
8;2126.101;-2502.602;
9;2101.891;-2546.395;
10;2103.349;-2547.64;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv22;;;
1;2011.289;-2437.636;
2;2011.289;-2423.481;
3;2004.307;-2423.481;
4;1993.371;-2423.481;
5;1981.7;-2423.481;
6;1980.802;-2425.037;
7;1981.77;-2427.164;
8;1960.93;-2438.386;
9;1944.185;-2466.881;
10;1945.287;-2467.767;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
CDC_1011_1;;;
1;2171.473;-2413.213;
2;2171.473;-2404.922;
3;2150.482;-2402.1;
4;2141.903;-2400.971;
5;2137.606;-2400.777;
6;2134.607;-2403.246;
7;2135.926;-2408.039;
8;2109.031;-2427.941;
9;2096.405;-2461.511;
10;2097.743;-2462.95;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
SNU_inv06;;;
1;2014.479;-2375.489;
2;2014.479;-2363.494;
3;1998.721;-2360.907;
4;1989.24;-2360.296;
5;1987.176;-2360.272;
6;1985.182;-2361.731;
7;1986.035;-2363.729;
8;1958.943;-2383.714;
9;1946.528;-2406.644;
10;1947.821;-2407.157;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv03;;;
1;1813.291;-2377.054;
2;1813.291;-2362.678;
3;1805.164;-2362.684;
4;1791.288;-2362.684;
5;1782.982;-2362.699;
6;1779.16;-2365.236;
7;1780.282;-2366.754;
8;1760.05;-2381.479;
9;1749.291;-2412.009;
10;1750.199;-2413.081;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv21;;;
1;1814.792;-2314.43;
2;1814.792;-2300.084;
3;1795.213;-2299.79;
4;1788.099;-2299.32;
5;1782.902;-2299.32;
6;1780.22;-2302.436;
7;1781.102;-2304.2;
8;1755.173;-2326.19;
9;1749.558;-2343.71;
10;1750.69;-2344.682;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv07;;;
1;1816.531;-2245.02;
2;1816.531;-2230.115;
3;1809.021;-2230.076;
4;1797.316;-2230.076;
5;1790.954;-2230.115;
6;1787.617;-2232.938;
7;1788.441;-2234.569;
8;1755.809;-2257.235;
9;1749.282;-2276.947;
10;1749.973;-2278.001;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv38;;;
1;1822.229;-2165.527;
2;1822.217;-2151.702;
3;1802.121;-2150.534;
4;1797.638;-2150.24;
5;1795.065;-2150.27;
6;1794.149;-2151.692;
7;1794.624;-2153.886;
8;1788.109;-2176.016;
9;1754.011;-2200.393;
10;1754.952;-2201.804;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv05;;;
1;2009.084;-2307.902;
2;2009.084;-2290.66;
3;1996.649;-2289.778;
4;1984.39;-2288.94;
5;1981.589;-2289.172;
6;1980.215;-2291.821;
7;1978.816;-2296.049;
8;1958.427;-2305.657;
9;1941.899;-2333.507;
10;1942.874;-2334.648;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
CDC_1007_1;;;
1;2010.994;-2233.297;
2;2010.994;-2227.065;
3;2004.251;-2227.038;
4;1984.257;-2223.684;
5;1981.419;-2223.655;
6;1978.185;-2225.771;
7;1978.773;-2228.476;
8;1955.842;-2247.408;
9;1945.787;-2270.206;
10;1947.376;-2271.707;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
SNU_inv37;;;
1;2173.206;-2322.607;
2;2173.206;-2307.378;
3;2157.684;-2306.144;
4;2153.333;-2305.556;
5;2147.77;-2305.53;
6;2144.161;-2308.378;
7;2144.984;-2309.966;
8;2118.28;-2328.021;
9;2106.061;-2353.769;
10;2107.238;-2356.609;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
CDB01;;;
1;2193.183;-2197.184;
2;2193.183;-2184.219;
3;2188.521;-2184.173;
4;2174.169;-2182.397;
5;2172.193;-2182.456;
6;2166.022;-2185.81;
7;2167.371;-2189.68;
8;2136.12;-2220.407;
9;2130.653;-2245.074;
10;2131.623;-2245.914;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
CDB02;;;
1;2363.384;-2361.074;
2;2363.384;-2354.136;
3;2350.978;-2352.901;
4;2344.51;-2350.784;
5;2334.103;-2351.02;
6;2333.309;-2352.095;
7;2333.201;-2355.027;
8;2309.643;-2368.029;
9;2296.443;-2396.508;
10;2297.639;-2397.133;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
TDB01;;;
1;2362.54;-2283.525;
2;2362.54;-2273.118;
3;2357.513;-2273.118;
4;2342.255;-2269.943;
5;2336.522;-2270.032;
6;2332.374;-2273.15;
7;2334.318;-2275.94;
8;2309.006;-2294.461;
9;2296.868;-2320.421;
10;2298.112;-2321.518;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB63680;;;
1;2531.284;-2437.512;
2;2531.284;-2432.867;
3;2519.23;-2432.338;
4;2513.527;-2431.603;
5;2503.738;-2431.603;
6;2501.035;-2433.118;
7;2500.006;-2435.985;
8;2488.303;-2440.893;
9;2467.632;-2468.857;
10;2469.031;-2469.599;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
CDB03;;;
1;2531.13;-2347.787;
2;2531.13;-2339.585;
3;2517.636;-2337.115;
4;2509.964;-2335.263;
5;2504.252;-2335.271;
6;2498.322;-2337.556;
7;2499.204;-2340.379;
8;2469.659;-2362.251;
9;2458.236;-2393.143;
10;2460.037;-2394.455;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB02;;;
1;2533.398;-2259.891;
2;2533.398;-2250.366;
3;2523.785;-2250.013;
4;2505.664;-2245.549;
5;2503.984;-2245.549;
6;2501.606;-2247.782;
7;2502.883;-2250.454;
8;2484.45;-2263.154;
9;2469.107;-2298.12;
10;2470.385;-2299.187;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB46590;;;
1;2696.408;-2452.247;
2;2696.408;-2444.427;
3;2681.338;-2446.201;
4;2676.643;-2444.15;
5;2675.467;-2444.15;
6;2674.408;-2446.631;
7;2674.036;-2449.396;
8;2658.484;-2459.744;
9;2642.516;-2492.464;
10;2643.957;-2493.214;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
CDB04;;;
1;2694.354;-2352.069;
2;2694.354;-2339.987;
3;2679.448;-2338.928;
4;2669.058;-2338.438;
5;2661.061;-2338.438;
6;2657.547;-2341.439;
7;2658.494;-2346.682;
8;2641.18;-2356.316;
9;2623.571;-2394.455;
10;2626.64;-2396.387;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB03;;;
1;2699.76;-2262.3;
2;2699.76;-2252.833;
3;2685.178;-2251.305;
4;2672.7;-2249.876;
5;2671.401;-2249.776;
6;2669.741;-2252.787;
7;2668.909;-2256.384;
8;2651.37;-2267.767;
9;2632.926;-2299.649;
10;2634.002;-2300.437;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB63631;;;
1;2699.701;-2180.015;
2;2699.701;-2168.153;
3;2685.601;-2167.075;
4;2680.019;-2166.308;
5;2677.314;-2166.308;
6;2675.43;-2167.926;
7;2674.551;-2170.218;
8;2650.973;-2183.455;
9;2633.654;-2214.659;
10;2634.897;-2215.789;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB63709;;;
1;2891.406;-2406.35;
2;2891.406;-2401.565;
3;2870.553;-2402.769;
4;2865.923;-2400.406;
5;2864.864;-2400.418;
6;2863.402;-2402.566;
7;2862.033;-2405.007;
8;2851.216;-2411.413;
9;2836.929;-2444.544;
10;2837.888;-2445.319;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB63592;;;
1;2893.24;-2332.858;
2;2893.24;-2324.568;
3;2885.744;-2324.524;
4;2866.451;-2322.804;
5;2863.893;-2322.804;
6;2861.263;-2324.94;
7;2860.993;-2326.899;
8;2838.449;-2343.75;
9;2825.639;-2371.752;
10;2827.205;-2373.566;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
TDB04;;;
1;2890.854;-2243.663;
2;2890.854;-2234.255;
3;2877.266;-2232.955;
4;2867.949;-2232.065;
5;2864.981;-2232.065;
6;2857.891;-2235.087;
7;2859.135;-2236.082;
8;2839.487;-2251.317;
9;2825.099;-2281.458;
10;2827.345;-2283.956;
Shape;;;Escudella
Decoration;;;Luster
Origin;;;Barcelona
MCB19388;;;
1;3080.582;-1959.298;
2;3080.582;-1954.712;
3;3059.326;-1955.477;
4;3057.702;-1952.919;
5;3055.938;-1952.919;
6;3052.351;-1956.537;
7;3051.628;-1959.504;
8;3031.258;-1978.706;
9;3022.928;-1997.603;
10;3024.496;-1998.75;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB65796;;;
1;3237.099;-1959.774;
2;3237.099;-1953.726;
3;3220.146;-1957.168;
4;3213.982;-1952.849;
5;3213.232;-1952.849;
6;3212.167;-1954.515;
7;3212.475;-1960.559;
8;3195.824;-1972.179;
9;3178.958;-1996.628;
10;3180.411;-1997.986;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
CDC_2845_01;;;
1;4594.186;-2439.472;
2;4594.186;-2431.094;
3;4584.264;-2429.991;
4;4571.354;-2428.14;
5;4569.824;-2428.169;
6;4566.135;-2432.025;
7;4566.477;-2433.392;
8;4541.912;-2451.118;
9;4527.505;-2484.588;
10;4528.716;-2485.62;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
MCB40389;;;
1;1977.708;-2793.738;
2;1977.708;-2787.3;
3;1970.445;-2787.379;
4;1959.673;-2786.594;
5;1946.047;-2786.594;
6;1941.07;-2789.338;
7;1941.168;-2792.548;
8;1922.146;-2808.775;
9;1906.622;-2837.933;
10;1911.174;-2844.995;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
BCN25;;;
1;-2601.2;-2434.706;
2;-2601.2;-2431.515;
3;-2607.28;-2431.703;
4;-2622.638;-2429.356;
5;-2624.021;-2429.415;
6;-2624.917;-2430.808;
7;-2625.03;-2434.031;
8;-2657.582;-2458.949;
9;-2654.468;-2464.32;
10;-2653.198;-2464.869;
Shape;;;Saler
Decoration;;;GreenManganese
Origin;;;Barcelona
QUARHIS3_9_5;;;
1;-2321.821;-2431.323;
2;-2321.821;-2426.494;
3;-2323.122;-2426.472;
4;-2342.709;-2418.881;
5;-2343.878;-2418.881;
6;-2345.86;-2421.234;
7;-2344.598;-2426.251;
8;-2362.377;-2451.584;
9;-2385.009;-2460.758;
10;-2386.277;-2468.151;
Shape;;;Saler
Decoration;;;PisaArcaica
Origin;;;Barcelona
BCN23;;;
1;-2137.424;-2443.711;
2;-2137.424;-2432.439;
3;-2147.002;-2430.934;
4;-2154.355;-2429.073;
5;-2155.825;-2429.073;
6;-2157.714;-2430.579;
7;-2157.944;-2436.123;
8;-2172.369;-2445.847;
9;-2190.485;-2459.479;
10;-2190.48;-2464.382;
Shape;;;Saler
Decoration;;;PisaArcaica
Origin;;;Barcelona
QUARHIS3_4_1;;;
1;-2495.709;-1595.673;
2;-2495.709;-1587.148;
3;-2502.177;-1585.737;
4;-2513.035;-1580.372;
5;-2513.938;-1580.372;
6;-2515.097;-1582.892;
7;-2513.227;-1586.913;
8;-2534;-1593.557;
9;-2547.355;-1618.456;
10;-2545.865;-1620.232;
Shape;;;Escudella
Decoration;;;PisaArcaica
Origin;;;Barcelona
QUARHIS3_1_5;;;
1;-2355.382;-1593.908;
2;-2355.382;-1585.353;
3;-2356.903;-1585.309;
4;-2375.804;-1576.807;
5;-2376.443;-1576.851;
6;-2377.436;-1578.57;
7;-2375.711;-1586.412;
8;-2406.38;-1599.575;
9;-2415.677;-1620.352;
10;-2414.444;-1621.388;
Shape;;;Escudella
Decoration;;;VaixellaVerda
Origin;;;Barcelona
BCN16;;;
1;-2372.187;-1431.602;
2;-2372.187;-1424.471;
3;-2378.813;-1422.899;
4;-2392.602;-1417.849;
5;-2394.363;-1417.857;
6;-2396.119;-1419.286;
7;-2395.613;-1426.49;
8;-2422.95;-1452.266;
9;-2431.906;-1476.487;
10;-2430.238;-1478.055;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
QUARHIS3_3_1;;;
1;-2355.49;-1278.037;
2;-2355.49;-1272.187;
3;-2366.985;-1272.275;
4;-2379.398;-1266.223;
5;-2381.566;-1266.366;
6;-2382.661;-1268.997;
7;-2381.438;-1275.151;
8;-2414.933;-1302.738;
9;-2421.026;-1313.833;
10;-2413.308;-1319.651;
Shape;;;Escudella
Decoration;;;PisaArcaica
Origin;;;Barcelona
QUARHIS3_1_4;;;
1;-2174.16;-1563.6;
2;-2174.16;-1560.954;
3;-2178.702;-1560.91;
4;-2196.196;-1557.003;
5;-2196.813;-1557.003;
6;-2198.621;-1559.278;
7;-2198.677;-1564.555;
8;-2217.485;-1583.681;
9;-2235.984;-1592.88;
10;-2235.494;-1600.491;
Shape;;;Escudella
Decoration;;;VaixellaVerda
Origin;;;Barcelona
QUARHIS3_2_1;;;
1;-2167.793;-1473.598;
2;-2167.793;-1463.632;
3;-2179.052;-1462.809;
4;-2192.226;-1459.43;
5;-2193.064;-1459.43;
6;-2194.049;-1462.251;
7;-2194.133;-1467.836;
8;-2217.211;-1487.444;
9;-2235.908;-1505.686;
10;-2235.551;-1511.295;
Shape;;;Escudella
Decoration;;;PisaArcaica
Origin;;;Barcelona
QUARHIS3_2_4;;;
1;-2167.864;-1288.065;
2;-2167.864;-1278.305;
3;-2170.389;-1277.195;
4;-2187.781;-1271.058;
5;-2189.593;-1271.058;
6;-2190.316;-1275.939;
7;-2189.031;-1278.695;
8;-2216.049;-1298.671;
9;-2232.878;-1315.038;
10;-2232.378;-1321.153;
Shape;;;Escudella
Decoration;;;PisaArcaica
Origin;;;Barcelona
MAN063;;;
1;-1260.012;-2456.885;
2;-1260.012;-2446.285;
3;-1265.855;-2446.288;
4;-1274.375;-2446.294;
5;-1278.952;-2446.345;
6;-1280.429;-2448.374;
7;-1278.974;-2451.417;
8;-1299.611;-2465.307;
9;-1304.257;-2476.844;
10;-1298.222;-2482.461;
Shape;;;Saler
Decoration;;;GreenManganese
Origin;;;Barcelona
BCN26;;;
1;-629.943;-2456.49;
2;-629.943;-2442.132;
3;-637.117;-2442.131;
4;-646.994;-2442.131;
5;-652.489;-2442.132;
6;-654.236;-2446.718;
7;-653.367;-2449.788;
8;-673.573;-2469.674;
9;-677.304;-2491.581;
10;-675.217;-2493.313;
Shape;;;Saler
Decoration;;;Blue
Origin;;;Barcelona
MCB142610;;;
1;-463.737;-2124.68;
2;-463.737;-2119.565;
3;-468.499;-2118.992;
4;-483.852;-2114.385;
5;-485.07;-2114.373;
6;-486.941;-2115.032;
7;-494.12;-2119.653;
8;-540.548;-2144.383;
9;-542.766;-2158.119;
10;-541.699;-2159.479;
Shape;;;Plat
Decoration;;;Blue
Origin;;;Barcelona
MCB9229;;;
1;121.295;-2471.147;
2;121.295;-2466.958;
3;117.327;-2466.958;
4;50.704;-2449.045;
5;49.117;-2449.045;
6;46.537;-2449.451;
7;36.927;-2451.69;
8;0.613;-2474.63;
9;-42.555;-2496.459;
10;-36.519;-2503.862;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB51388;;;
1;119.761;-2360.988;
2;119.761;-2346.877;
3;111.206;-2342.291;
4;47.927;-2335.367;
5;46.295;-2335.367;
6;42.666;-2336.023;
7;36.042;-2338.122;
8;-13.318;-2360.299;
9;-54.423;-2372.189;
10;-43.356;-2381.347;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB100610;;;
1;124.504;-2259.682;
2;124.504;-2255.802;
3;104.445;-2246.889;
4;95.978;-2254.564;
5;94.038;-2254.564;
6;89.397;-2254.881;
7;79.8;-2256.807;
8;49.661;-2266.448;
9;-2.329;-2279.838;
10;10.136;-2288.733;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB100656;;;
1;121.295;-2164.619;
2;121.295;-2152.742;
3;112.745;-2152.619;
4;69.608;-2144.375;
5;68.288;-2144.419;
6;35.684;-2164.68;
7;43.419;-2147.98;
8;-1.955;-2167.688;
9;-45.363;-2176.877;
10;-33.373;-2184.984;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB63788;;;
1;90.956;-2052.038;
2;90.956;-2043.968;
3;70.568;-2042.559;
4;65.336;-2041.675;
5;61.323;-2041.675;
6;59.952;-2042.085;
7;50.424;-2046.499;
8;18.152;-2074.219;
9;-3.191;-2085.288;
10;4.836;-2093.802;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB63565;;;
1;90.956;-1927.786;
2;90.956;-1916.98;
3;86.509;-1916.969;
4;55.977;-1913.898;
5;54.313;-1913.898;
6;52.854;-1914.179;
7;41.233;-1918.354;
8;3.675;-1939.878;
9;-29.931;-1964.685;
10;-14.568;-1968.046;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB40315;;;
1;69.358;-1828.841;
2;69.358;-1823.99;
3;59.237;-1823.802;
4;47.913;-1822.291;
5;47.501;-1822.291;
6;46.653;-1822.424;
7;40.752;-1824.381;
8;19.05;-1834.931;
9;4.646;-1841.85;
10;5.442;-1846.353;
Shape;;;Plat
Decoration;;;White
Origin;;;Barcelona
MCB18520;;;
1;255.548;-1824.083;
2;255.548;-1814.793;
3;245.614;-1814.867;
4;237.589;-1814.616;
5;236.707;-1814.616;
6;234.325;-1814.752;
7;228.85;-1815.317;
8;196.87;-1832.755;
9;160.211;-1845.044;
10;166.592;-1849.47;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB65794;;;
1;96.963;-1688.321;
2;96.963;-1672.887;
3;56.708;-1673.141;
4;29.009;-1670.085;
5;27.995;-1670.085;
6;27.422;-1670.25;
7;19.376;-1672.886;
8;-25.952;-1698.712;
9;-73.702;-1707.829;
10;-55.481;-1717.106;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB9218;;;
1;111.524;-1544.518;
2;111.524;-1536.874;
3;81.861;-1537.874;
4;78.104;-1536.204;
5;76.692;-1536.204;
6;75.012;-1536.471;
7;66.858;-1538.104;
8;14.981;-1561.717;
9;-19.943;-1570.919;
10;-15.616;-1577.682;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB100652;;;
1;104.93;-1408.098;
2;104.93;-1403.042;
3;40.018;-1399.69;
4;37.123;-1397.528;
5;35.83;-1397.528;
6;29.383;-1398.57;
7;25.371;-1400.26;
8;-23.813;-1430.592;
9;-70.033;-1441.615;
10;-62.713;-1451.341;
Shape;;;Plat
Decoration;;;Luster
Origin;;;Barcelona
MCB121923;;;
1;671.744;-2478.948;
2;671.744;-2469.952;
3;655.957;-2471.055;
4;653.443;-2467.747;
5;648.311;-2467.65;
6;646.902;-2467.887;
7;632.333;-2469.818;
8;614.557;-2482.123;
9;567.342;-2502.084;
10;572.341;-2505.649;
Shape;;;Plat
Decoration;;;Blue
Origin;;;Barcelona
MCB63795;;;
1;897.63;-2481.425;
2;897.63;-2473.002;
3;887.118;-2475.215;
4;882.908;-2470.436;
5;876.404;-2470.436;
6;871.083;-2470.885;
7;863.455;-2472.781;
8;846.565;-2482.703;
9;818.828;-2498.094;
10;820.032;-2503.673;
Shape;;;Plat
Decoration;;;Blue
Origin;;;Barcelona
MCB100833;;;
1;1131.675;-2481.083;
2;1131.675;-2472.792;
3;1117.65;-2473.446;
4;1110.038;-2471.217;
5;1104.629;-2471.217;
6;1101.865;-2471.273;
7;1090.103;-2472.191;
8;1070.952;-2481.028;
9;1034.778;-2496.781;
10;1044.068;-2503.615;
Shape;;;Plat
Decoration;;;Blue
Origin;;;Barcelona
MCB5165;;;
1;671.744;-2313.825;
2;671.744;-2304.183;
3;639.582;-2308.592;
4;633.496;-2303.794;
5;631.642;-2303.794;
6;627.416;-2304.542;
7;601.445;-2310.38;
8;571.782;-2329.179;
9;520.578;-2355.865;
10;526.441;-2362.262;
Shape;;;Plat
Decoration;;;Blue
Origin;;;Barcelona
MCB5199;;;
1;1033.421;-2317.759;
2;1033.421;-2310.615;
3;1020.27;-2310.593;
4;1010.672;-2306.971;
5;1008.144;-2306.971;
6;1004.772;-2307.462;
7;999.554;-2308.441;
8;979.403;-2319.946;
9;934.224;-2345.385;
10;937.378;-2350.231;
Shape;;;Plat
Decoration;;;Blue
Origin;;;Barcelona
MCB5156;;;
1;671.744;-2174.708;
