;x;y;Information
5;-1181.79;-2144.664;
6;-1183.822;-2145.318;
7;-1191.59;-2148.84;
8;-1221.573;-2178.866;
9;-1222.84;-2193.571;
10;-1220.868;-2197.104;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MCB49648;;;
1;-845.263;-2166.87;
2;-845.263;-2159.55;
3;-855.133;-2159.55;
4;-868.304;-2159.55;
5;-878.38;-2159.55;
6;-880.321;-2160.123;
7;-883.302;-2161.91;
8;-909.337;-2184.817;
9;-913.593;-2206.63;
10;-910.113;-2210.264;
Shape;;;Escudella
Decoration;;;GreenManganese
Origin;;;Barcelona
MCB46525;;;
1;-600.509;-2164.897;
2;-600.509;-2160.818;
3;-606.043;-2160.73;
4;-626.307;-2157.731;
5;-626.739;-2157.731;
6;-630.539;-2160.135;
7;-636.36;-2164.5;
8;-658.794;-2185.762;
9;-664.122;-2205.047;
10;-662.527;-2208.196;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
TDB005;;;
1;590.506;-2601.037;
2;590.506;-2596.186;
3;584.597;-2595.922;
4;576.292;-2593.346;
5;575.542;-2593.346;
6;574.19;-2593.717;
7;568.09;-2597.095;
8;560.897;-2602.615;
9;548.717;-2624.902;
10;549.739;-2626.123;
Shape;;;Saler
Decoration;;;Blue
Origin;;;Barcelona
TDB006;;;
1;696.097;-2602.444;
2;696.097;-2596.888;
3;691.839;-2596.839;
4;686.153;-2596.839;
5;682.691;-2596.888;
6;680.869;-2597.479;
7;675.955;-2599.598;
8;663.111;-2609.735;
9;654.998;-2625.816;
10;656.495;-2627.017;
Shape;;;Saler
Decoration;;;Blue
Origin;;;Barcelona
TDB007;;;
1;805.661;-2602.82;
2;805.661;-2601.585;
3;799.841;-2601.409;
4;793.05;-2599.645;
5;787.493;-2599.645;
6;784.931;-2600.147;
7;781.496;-2601.409;
8;769.943;-2611.551;
9;766.415;-2621.694;
10;767.473;-2623.281;
Shape;;;Saler
Decoration;;;Blue
Origin;;;Barcelona
QUARHIS11_2_6;;;
1;106.35;-2110.19;
2;106.35;-2101.151;
3;92.46;-2097.182;
4;83.542;-2094.722;
5;82.175;-2094.729;
6;77.107;-2096.403;
7;69.135;-2100.792;
8;48.718;-2120.248;
9;43.259;-2143.302;
10;44.342;-2144.92;
Shape;;;Escudella
Decoration;;;Blue
Origin;;;Barcelona
